Wall time,Step,Value
1719576300.506022,0,0.2172924131155014
1719576318.653945,1,0.6281394362449646
1719576325.014052,2,0.7851742506027222
1719576331.371919,3,0.8444707989692688
1719576337.729955,4,0.8751121163368225
1719576344.108016,5,0.8958867192268372
1719576350.7286,6,0.9072751402854919
1719576357.204379,7,0.9168055057525635
1719576363.734988,8,0.9250063896179199
1719576370.112722,9,0.9308367371559143
1719576376.502509,10,0.9345688223838806
1719576382.872553,11,0.940719485282898
1719576389.243881,12,0.9460533261299133
1719576395.624682,13,0.9487762451171875
1719576402.001446,14,0.949641227722168
1719576408.398993,15,0.9541581273078918
1719576414.766492,16,0.9609014391899109
1719576421.137617,17,0.9636244177818298
1719576427.522626,18,0.9654824733734131
1719576433.904673,19,0.9710404872894287
1719576440.281934,20,0.9724660515785217
1719576446.673408,21,0.9726101756095886
1719576453.039611,22,0.976069986820221
1719576459.420149,23,0.9768067598342896
1719576465.812272,24,0.9780721664428711
1719576472.212013,25,0.9798981547355652
1719576478.608296,26,0.9814838767051697
1719576485.016562,27,0.9809553027153015
