Wall time,Step,Value
1719532601.266831,0,0.27253830432891846
1719532635.137274,1,0.3168318271636963
1719532655.170822,2,0.33012986183166504
1719532674.981698,3,0.350760281085968
1719532694.290316,4,0.38417619466781616
1719532712.660475,5,0.4506663382053375
1719532731.075424,6,0.5455322265625
1719532749.49819,7,0.6509197354316711
1719532767.919301,8,0.7475368976593018
1719532786.379593,9,0.8122900128364563
1719532804.865084,10,0.8545190691947937
1719532823.397001,11,0.8803889751434326
1719532841.901365,12,0.8989264965057373
1719532860.526619,13,0.9210376739501953
1719532879.107734,14,0.9428498148918152
1719532897.717497,15,0.9609317183494568
1719532916.304431,16,0.9713964462280273
1719532934.946965,17,0.9753687381744385
1719532953.581651,18,0.979810893535614
1719532972.161203,19,0.9809214472770691
1719532990.730532,20,0.9834842681884766
1719533009.431144,21,0.9862748384475708
1719533028.076173,22,0.986488401889801
1719533046.734173,23,0.9887521862983704
1719533065.344586,24,0.9873142242431641
1719533084.030016,25,0.9889373183250427
1719533102.717095,26,0.9892505407333374
1719533121.434986,27,0.9913007616996765
1719533140.089104,28,0.9916424751281738
1719533158.776301,29,0.9935645461082458
1719533177.462464,30,0.9953442811965942
1719533196.193324,31,0.9969531297683716
1719533214.931856,32,0.996269702911377
1719533233.65798,33,0.9975511431694031
1719533252.392473,34,0.9973090887069702
1719533271.188293,35,0.9973660111427307
1719533289.907059,36,0.9979355335235596
1719533308.692257,37,0.9982345104217529
1719533327.418597,38,0.9974514245986938
1719533346.170643,39,0.9977219700813293
1719533364.888817,40,0.9977931380271912
1719533383.669299,41,0.9972521066665649
1719533402.472032,42,0.9972521066665649
1719533421.252536,43,0.9981918334960938
1719533440.004932,44,0.9986473917961121
1719533458.807476,45,0.9988325238227844
1719533477.615292,46,0.9983199238777161
1719533496.415167,47,0.9984765648841858
1719533515.217549,48,0.9991884231567383
1719533534.04319,49,0.9989321827888489
