Wall time,Step,Value
1719532601.266175,0,2.1059136390686035
1719532635.136706,1,1.8163557052612305
1719532655.170269,2,1.7595112323760986
1719532674.981117,3,1.708032250404358
1719532694.289709,4,1.6319475173950195
1719532712.659984,5,1.4869716167449951
1719532731.074939,6,1.2449651956558228
1719532749.49769,7,0.9479240775108337
1719532767.918807,8,0.6777374744415283
1719532786.379109,9,0.49549877643585205
1719532804.864587,10,0.3690434992313385
1719532823.396506,11,0.2955804765224457
1719532841.900889,12,0.2471247762441635
1719532860.526134,13,0.2032621204853058
1719532879.107228,14,0.16519767045974731
1719532897.717008,15,0.12112157791852951
1719532916.303949,16,0.09323082864284515
1719532934.946475,17,0.08093322068452835
1719532953.581174,18,0.06611914187669754
1719532972.16072,19,0.06220133975148201
1719532990.730042,20,0.05629543215036392
1719533009.430657,21,0.04769417271018028
1719533028.07569,22,0.04580133408308029
1719533046.73369,23,0.038298316299915314
1719533065.344095,24,0.043542731553316116
1719533084.029522,25,0.035812754184007645
1719533102.716617,26,0.03621012717485428
1719533121.434491,27,0.02925122156739235
1719533140.088621,28,0.029120702296495438
1719533158.775803,29,0.02203518897294998
1719533177.461962,30,0.016117600724101067
1719533196.192829,31,0.012356028892099857
1719533214.931356,32,0.013572124764323235
1719533233.657497,33,0.009744902141392231
1719533252.391948,34,0.009895719587802887
1719533271.187801,35,0.009917454794049263
1719533289.906569,36,0.007968105375766754
1719533308.691716,37,0.006754368543624878
1719533327.418099,38,0.010193738155066967
1719533346.170149,39,0.008882180787622929
1719533364.888308,40,0.008060402236878872
1719533383.668752,41,0.009551015682518482
1719533402.471625,42,0.00993311870843172
1719533421.252031,43,0.007123274728655815
1719533440.004439,44,0.005376072600483894
1719533458.806981,45,0.005147405434399843
1719533477.614805,46,0.00643789442256093
1719533496.41466,47,0.0058442107401788235
1719533515.217048,48,0.003960890229791403
1719533534.042672,49,0.004197771195322275
