Wall time,Step,Value
1719576784.192316,0,2.415837287902832
1719576804.893662,1,2.149871587753296
1719576812.666391,2,1.7871980667114258
1719576820.442682,3,1.0414191484451294
1719576828.214468,4,0.6177161335945129
1719576835.986413,5,0.44417664408683777
1719576843.752788,6,0.2964029312133789
1719576851.520814,7,0.2130332589149475
1719576859.320092,8,0.16458918154239655
1719576867.091448,9,0.1367063671350479
1719576874.863329,10,0.09943841397762299
1719576882.634469,11,0.08694636076688766
1719576890.413481,12,0.07728619873523712
1719576898.211569,13,0.06338309496641159
1719576906.000742,14,0.054722752422094345
1719576913.808241,15,0.047400038689374924
1719576921.599287,16,0.045883357524871826
1719576929.396514,17,0.041385482996702194
1719576937.241444,18,0.0393746942281723
1719576945.102858,19,0.03156501427292824
1719576952.899763,20,0.028121553361415863
1719576960.698819,21,0.0272606760263443
1719576968.483231,22,0.025627555325627327
1719576976.288454,23,0.018591387197375298
1719576984.100077,24,0.021191829815506935
1719576991.890008,25,0.025818876922130585
1719576999.709679,26,0.023256978020071983
1719577007.490191,27,0.01197789516299963
1719577015.136555,28,0.007178372237831354
1719577022.870096,29,0.009925998747348785
1719577030.609784,30,0.008370896801352501
1719577038.525215,31,0.009045260958373547
1719577046.301793,32,0.006400374695658684
1719577054.079755,33,0.004256642889231443
1719577061.861649,34,0.0030495906248688698
1719577069.626154,35,0.0034947663079947233
1719577077.400129,36,0.0038576654624193907
1719577085.183278,37,0.003153689205646515
1719577092.949004,38,0.002711672568693757
1719577100.72083,39,0.0023307097144424915
1719577108.476794,40,0.0025506990496069193
1719577116.227563,41,0.0016099795466288924
1719577124.020059,42,0.001954670064151287
1719577131.777036,43,0.0015772314509376884
1719577139.55931,44,0.0019889718387275934
1719577147.336648,45,0.001453193137422204
1719577155.182593,46,0.0012783845886588097
1719577162.986127,47,0.001398385618813336
1719577170.792952,48,0.0013364648912101984
