Wall time,Step,Value
1719576784.192972,0,0.18040427565574646
1719576804.894147,1,0.20334123075008392
1719576812.666856,2,0.3307918906211853
1719576820.44316,3,0.6195541024208069
1719576828.214964,4,0.778174638748169
1719576835.986903,5,0.8399538993835449
1719576843.75326,6,0.9131695032119751
1719576851.521305,7,0.942417323589325
1719576859.320593,8,0.9587871432304382
1719576867.091928,9,0.9650819897651672
1719576874.863838,10,0.9769509434700012
1719576882.635018,11,0.979193389415741
1719576890.413949,12,0.9821886420249939
1719576898.212064,13,0.9855522513389587
1719576906.001242,14,0.9870739579200745
1719576913.808752,15,0.9884994626045227
1719576921.599765,16,0.9883232712745667
1719576929.397017,17,0.9902613759040833
1719576937.241962,18,0.9897168278694153
1719576945.103339,19,0.9919111728668213
1719576952.900234,20,0.9929363131523132
1719576960.699318,21,0.9928081631660461
1719576968.483726,22,0.9929843544960022
1719576976.289155,23,0.9946662187576294
1719576984.100576,24,0.9936250448226929
1719576991.890508,25,0.9926480054855347
1719576999.7102,26,0.9935449957847595
1719577007.49067,27,0.9964281320571899
1719577015.137046,28,0.9979817867279053
1719577022.870574,29,0.9971649050712585
1719577030.61029,30,0.9977896213531494
1719577038.525697,31,0.9974852800369263
1719577046.302258,32,0.9981900453567505
1719577054.080245,33,0.9987826943397522
1719577061.86215,34,0.9990549683570862
1719577069.626657,35,0.9990069270133972
1719577077.400531,36,0.9987826943397522
1719577085.183702,37,0.9990549683570862
1719577092.949493,38,0.9993112683296204
1719577100.721296,39,0.9993432760238647
1719577108.477401,40,0.9991670846939087
1719577116.228053,41,0.9995034337043762
1719577124.020583,42,0.9993753433227539
1719577131.777516,43,0.9994874596595764
1719577139.559783,44,0.9993593096733093
1719577147.337133,45,0.9996156096458435
1719577155.182989,46,0.9996156096458435
1719577162.986586,47,0.9996796250343323
1719577170.793451,48,0.9995835423469543
